country,onset,type,max_risk,threshold,detected
Thailand,2014,coup,0.24614723087693735,0.06414535526213057,True
Thailand,2014,coup,0.24614723087693735,0.07123819499558748,True
Thailand,2014,coup,0.24614723087693735,0.07833103472904439,True
Thailand,2014,coup,0.24614723087693735,0.0854238744625013,True
Thailand,2014,coup,0.24614723087693735,0.0925167141959582,True
Thailand,2014,coup,0.24614723087693735,0.0996095539294151,True
Thailand,2014,coup,0.24614723087693735,0.10670239366287201,True
Thailand,2014,coup,0.24614723087693735,0.11379523339632891,True
Thailand,2014,coup,0.24614723087693735,0.12088807312978582,True
Thailand,2014,coup,0.24614723087693735,0.12798091286324273,True
Thailand,2014,coup,0.24614723087693735,0.13507375259669965,True
Thailand,2014,coup,0.24614723087693735,0.14216659233015655,True
Thailand,2014,coup,0.24614723087693735,0.14925943206361345,True
Egypt,2013,coup,0.3043552664378592,0.01449547712793223,True
Egypt,2013,coup,0.3043552664378592,0.021588316861389137,True
Egypt,2013,coup,0.3043552664378592,0.028681156594846043,True
Egypt,2013,coup,0.3043552664378592,0.03577399632830295,True
Egypt,2013,coup,0.3043552664378592,0.04286683606175985,True
Egypt,2013,coup,0.3043552664378592,0.04995967579521676,True
Egypt,2013,coup,0.3043552664378592,0.05705251552867367,True
Egypt,2013,coup,0.3043552664378592,0.06414535526213057,True
Egypt,2013,coup,0.3043552664378592,0.07123819499558748,True
Egypt,2013,coup,0.3043552664378592,0.07833103472904439,True
Egypt,2013,coup,0.3043552664378592,0.0854238744625013,True
Egypt,2013,coup,0.3043552664378592,0.0925167141959582,True
Egypt,2013,coup,0.3043552664378592,0.0996095539294151,True
Egypt,2013,coup,0.3043552664378592,0.10670239366287201,True
Egypt,2013,coup,0.3043552664378592,0.11379523339632891,True
Egypt,2013,coup,0.3043552664378592,0.12088807312978582,True
Egypt,2013,coup,0.3043552664378592,0.12798091286324273,True
Egypt,2013,coup,0.3043552664378592,0.13507375259669965,True
Egypt,2013,coup,0.3043552664378592,0.14216659233015655,True
Egypt,2013,coup,0.3043552664378592,0.14925943206361345,True
