indicator,factor_1,factor_2,factor_3,factor_4
v2exbribe,0.4856395728380779,0.7039879740107212,-0.22950408661141758,-0.024696277038357754
v2exembez,0.5586054223153034,0.6795324549355997,-0.2048483999179457,-0.004092458071281495
v2excrptps,0.4631904576852231,0.7155745842106193,-0.2527402716094943,-0.012375327467211296
v2exthftps,0.5013024323012557,0.7200499978775197,-0.20660591019121077,-0.021814384645511546
v2regendtype,0.3200529854032834,0.3775370279089137,0.1253815982450691,-0.0010640098844468537
v2regint,0.02145420948541317,0.13738576931422902,0.1844368286693351,0.026850663451234817
v2regidnr,-0.026084779625813362,0.28567824955699134,0.11890314566700301,-0.14744026808339433
v2regdur,0.2735449649031707,0.5079598921150091,-0.020311789988531226,-0.06843639717519666
v2regimpgroup,-0.04409517723019934,0.004532117526704252,-0.16654247117012427,-0.07311074621558143
v2regsupgroupssize,0.5809750710258933,0.4068403894076913,0.1526613652804372,-0.033603194927201034
v2regsuploc,0.18364496064268676,0.22614330436253324,0.15592208593596812,0.01037383174747198
v2regimpoppgroup,-0.12357636243584699,0.23703975595410912,0.05052353398571946,0.05277664109569019
v2regoppgroupssize,-0.23958466902516126,-0.5886237639087579,0.032064422821082794,-0.06640404934857538
v2regopploc,0.23719934175272014,0.12456389944330302,-0.05999854013385171,-0.059346654246861086
v2regproreg,0.14087944788642973,0.11065752169103396,-0.1314735106422537,-0.04623581316192496
v2regantireg,-0.05512763895736075,0.204807494024418,0.13179432191947557,0.09473704301744693
v2regpower,-0.04012019358981742,-0.1474722533559932,-0.1354160131839588,-0.031550138795280125
v2lgbicam,0.30822993880151894,0.08295100529114667,0.2682926902436048,0.0037836692556338924
v2lgqstexp,0.7769444851142001,0.20102253945782106,0.008406713082896054,-0.08707932926450977
v2lginvstp,0.8015438621124852,0.2697211719924183,-0.11600900967812057,0.005985555092768206
v2lgotovst,0.7317255502051854,0.3563101450772563,-0.03466331211494771,-0.06855768995765006
v2lgcrrpt,0.28354294652049195,0.7216568755306294,-0.22017387011388762,-0.042064242142754844
v2lgoppart,0.8841331497055254,0.1388454557882171,-0.01754105885252935,0.015875676341446883
v2lgfunds,0.7390642691377989,0.19180343611708858,0.04675528972105348,0.10497853314976144
v2lgdsadlo,0.4375265251831509,0.2672130902548624,0.0940796486933986,-0.032488233171681515
v2lgdsadlobin,0.007452204151909102,-0.001952336654343868,0.0028641476544674083,0.11515347360985076
v2lgtreaty,-0.0525913237286401,-0.13295786206365795,0.20923229771439644,0.27682137047367295
v2lgwarlaw,0.05530146082829978,-0.04552718277872116,0.15418272972670818,0.20055794862830295
v2ex_legconhog,0.2734124298601957,0.37684266126921423,0.045835646684032005,-0.393990016479795
v2ex_legconhos,0.022198401494088645,0.03705645693239683,0.004059559619695174,-0.13961751016278048
v2ex_hosw,-0.3737775465720976,-0.42481654748328035,0.11440585035124942,0.4444461667374932
v2lglegplo,0.7002802589596848,0.16705569497834896,0.1898688784209706,-0.03104500063782458
v2lgcomslo,0.7239951574012546,0.18140166098466565,0.19459427833211698,0.06398077623613295
v2lgsrvlo,0.049813068648629055,0.23123476234474216,-0.14082780964916725,-0.42866007648378374
v2lgstafflo,0.4562613178733746,-0.025579078714699888,0.07804133430615849,0.12257006781234975
v2lgqugen,0.12886366170636457,-0.17930547165382743,0.17955362414004836,0.07950352931503424
v2lgintblo,0.1402301167741334,0.14590820175540803,0.06819024967143972,0.02795947433542203
v2lgello,0.24877275130494197,0.05745406915880491,0.39003745085425995,0.02410957725581063
v2lgfemleg,0.20560832160896458,0.3382409566327244,0.3103237653119098,0.11998738675380469
v2lginello,-0.12592675494853714,-0.03078229995535204,-0.08104833048124967,-0.024684661766136852
v2dlreason,0.7711709027909172,0.3264913202251993,0.026607802234639523,-0.018651434842305175
v2dlcommon,0.5911125856552911,0.3863122850250543,0.16892798927425795,-0.003453941850877343
v2dlcountr,0.8593642019253749,0.11615064968236266,0.02125941324826998,-0.01684956486864922
v2dlconslt,0.8232302182744761,0.266932937927254,-0.015242194798531315,-0.014673791369724598
v2dlengage,0.8679834654819467,0.17704657596451118,0.0576265451619892,0.027924493902686198
v2dlencmps,0.49673941274602496,0.5489628337401296,0.06014219137259329,-0.048987130587396184
v2dlunivl,0.2686554218304938,0.5325336010934116,0.26044536986147243,-0.01713532383351621
v2jureform,0.47704041513420103,0.011397993191773786,0.11069142782530299,-0.11913839149409987
